accuracy,precision,recall,f1_score
0.575061593493253,0.5085897807033161,0.5750615934932533,0.5215693448340144
0.5789994536476749,0.5141988416248601,0.5789994536476748,0.5446280214213335
0.5751595245703919,0.5086642236725006,0.5751595245703919,0.5217384937200744
0.5749172740111539,0.50843237629464,0.5749172740111538,0.5214410970082536
0.5748708856061934,0.508393038658248,0.5748708856061935,0.5213867351797715
0.5773397796035338,0.5100823444766746,0.5773397796035338,0.5248365000670722
0.5750564392260352,0.5085297828521398,0.5750564392260351,0.5216430127951865
0.5771645345181275,0.5099415054350022,0.5771645345181274,0.5246045557261874
0.577123300380385,0.5099085035557217,0.5771233003803847,0.524550951735867
0.5775614130939004,0.510264743527027,0.5775614130939004,0.5251483378917058
0.5788602884327935,0.5140381628791708,0.5788602884327935,0.5444803588334548
0.5770872205098602,0.5098883185108598,0.57708722050986,0.5245145928027357
0.5748090343995794,0.5083442214019639,0.5748090343995795,0.5212908685645459
0.5774067850773655,0.510143581007889,0.5774067850773653,0.5249162415530126
0.5751285989670849,0.5086300059400842,0.5751285989670849,0.5216906230450589
