mean absolute error,mean squarred error
16.029711641060615,3147.7952458880077
15.969444432633153,3152.9989186052258
15.921452419994191,3088.8319113107814
15.87082969036505,3087.177019376078
15.966419989699434,3136.3168124635886
15.94338894334716,3092.756117634173
15.917233015390499,3023.803546564299
15.963682297663011,3127.674252118691
15.889286872890423,3015.217685160299
15.929098967429958,3070.004602411744
15.853471188397744,3029.97001248284
15.948890769053403,3058.424466159345
15.789581371515734,2923.4125710408402
15.771557383735228,2904.7958912229988
15.881101614236114,3101.5660237809316
