accuracy,precision,recall,f1_score
0.5735307761295576,0.505991304790192,0.5735307761295579,0.5193753191871723
0.5723452946694568,0.5049417652219396,0.5723452946694567,0.5186259860674218
0.5772470027936129,0.5116975206125279,0.5772470027936129,0.5424381056347133
0.5734328450524189,0.5058683746698263,0.5734328450524186,0.5196674897179671
0.5777933551187028,0.5121555445426897,0.5777933551187027,0.5429406966929786
0.5723143690661499,0.5046129431450632,0.5723143690661497,0.518553642003275
0.5733297597080623,0.5059635766138662,0.5733297597080623,0.5192823150644493
0.573520467595122,0.5051983401620989,0.573520467595122,0.5204125632512333
0.5734534621212902,0.5060190412206039,0.5734534621212903,0.5197958019084818
0.5730256579422104,0.5055007746967681,0.5730256579422104,0.5192164220777652
0.5755100147412042,0.5070669636556097,0.5755100147412042,0.5227087250188063
0.5732833713031018,0.5056068786289036,0.5732833713031018,0.5193219960484393
0.5769480552949787,0.5114644806181297,0.5769480552949787,0.5421725374487107
0.5781541538239509,0.5124345416842756,0.5781541538239507,0.5432616583530208
0.5771129918459492,0.5114590498108768,0.5771129918459492,0.5422597081529267
