accuracy,precision,recall,f1_score
0.7352716814250518,0.7362433711928035,0.7352716814250518,0.7357544533118802
0.7339831146205944,0.7357765278238629,0.7339831146205945,0.7348719981533879
0.7335501561742968,0.7348912947241862,0.7335501561742968,0.7342171737234303
0.7347665632377045,0.735254503639221,0.7347665632377048,0.7350092600539012
0.7343387590586247,0.7372546508618791,0.7343387590586244,0.7357815535613091
0.7333439854855835,0.7339637775083475,0.7333439854855837,0.733652342605096
0.7344727700062882,0.7353712002844013,0.7344727700062884,0.7349170038972965
0.7347768717721401,0.7370553442953273,0.7347768717721401,0.7359046142322461
0.7355603203892502,0.7368501931300696,0.7355603203892501,0.7362005221002484
0.7347047120310906,0.736517768266891,0.7347047120310902,0.7356046908571456
0.7333697568216727,0.7339557807001316,0.7333697568216728,0.7336557558869349
0.7347407919016153,0.7363998727197748,0.7347407919016153,0.7355634206610283
0.7316173059676105,0.734407732825213,0.7316173059676105,0.7329990089481998
0.7348232601771006,0.7350667819981965,0.7348232601771004,0.7349442747514745
0.7338284866040595,0.7344947958913891,0.7338284866040595,0.7341606843657538
