accuracy,precision,recall,f1_score
0.7774645128702052,0.7436608559786694,0.7774645128702049,0.7563670155690452
0.7786654571319596,0.7450336181851844,0.7786654571319597,0.7574016924745696
0.7784644407104642,0.7454090512614301,0.778464440710464,0.7576529627188141
0.7789180162256332,0.744602892941408,0.7789180162256335,0.7573020933350801
0.7788458564845836,0.7458176813480463,0.7788458564845835,0.7581371507978908
0.7787994680796231,0.7452204376529131,0.7787994680796231,0.7574676974301784
0.779072644242168,0.744921611494615,0.7790726442421678,0.7574882500486221
0.7782788870906223,0.7455657286137609,0.7782788870906222,0.7577611893041233
0.7786036059253456,0.74508464753818,0.7786036059253459,0.7576237975043688
0.7791396497159999,0.7462144423506989,0.7791396497159995,0.7581763985511283
0.7775521354129084,0.7435005362567486,0.7775521354129082,0.7559463390800716
0.7796344593689115,0.7460493215703405,0.7796344593689115,0.7583856138407248
0.7779696310575526,0.7445830121627554,0.7779696310575527,0.7571522742145086
0.7774438958013339,0.742873999964372,0.7774438958013342,0.755777052188122
0.7778820085148495,0.7438717516971132,0.7778820085148495,0.7564303926454982
