accuracy,precision,recall,f1_score
0.6495431661383554,0.6316376665859694,0.6495431661383555,0.6332373884497854
0.6519671825470819,0.6334701560973931,0.6519671825470819,0.6380000363126276
0.6494266268879358,0.6306814280041237,0.6494266268879357,0.637324934541604
0.6508950214432221,0.6323075171423339,0.650895021443222,0.6390613771920961
0.6487973149356704,0.6300764026822026,0.6487973149356704,0.63644850524453
0.6469793026291255,0.6283366691922422,0.6469793026291254,0.6327325652746963
0.6452079060227485,0.6267921464510717,0.6452079060227485,0.6297870099940165
0.6501258623904531,0.6319592598702028,0.6501258623904531,0.6348617568007341
0.6470725340294611,0.6292803934864827,0.6470725340294611,0.630562105294346
0.6561392877121014,0.6376550024392904,0.6561392877121014,0.6426154095271295
0.6499160917396979,0.6312640439672066,0.649916091739698,0.6382072952329322
0.6439725899683013,0.6258744121182136,0.6439725899683014,0.6271256408044518
0.6435996643669588,0.624977268172992,0.6435996643669589,0.6289202465509216
0.644042513518553,0.6259055096852596,0.644042513518553,0.6277396592226736
0.6462334514264404,0.6274788402056235,0.6462334514264404,0.6336211725562703
