accuracy,precision,recall,f1_score
0.7154947581102394,0.7157790189030412,0.7154947581102394,0.6983749383169331
0.7765264362365603,0.7031548584828985,0.7765264362365598,0.7045425635365626
0.41504736771573186,0.6947500494548122,0.41504736771573203,0.5185358317666
0.6962538785860815,0.7303704534834733,0.6962538785860816,0.6911214592799313
0.5287247312049645,0.7196328564492295,0.5287247312049648,0.5896299316067887
0.7517447194532353,0.7020822603796348,0.7517447194532351,0.7114844270679865
0.20696960013194923,0.6418909343553926,0.20696960013194932,0.3089833135860213
0.33505314049501583,0.7007229938132217,0.335053140495016,0.44692615726802754
0.7777479975671858,0.7059517714917932,0.7777479975671857,0.7138117465621487
0.6540198130031853,0.7144107485649424,0.6540198130031855,0.6519476450228752
0.7351634418134774,0.7039348339284611,0.735163441813477,0.7087513116738472
0.19000175245085407,0.7063006479356082,0.19000175245085407,0.29580730388304194
0.18103848175904833,0.689463410962908,0.18103848175904833,0.2791930909245214
0.7570020720154216,0.7108889200981913,0.7570020720154217,0.7208724187437293
0.07343799931963672,0.7405480434319605,0.07343799931963671,0.1299038544585498
