accuracy,precision,recall,f1_score
0.6392877121014358,0.6204218638747778,0.6392877121014355,0.6268117883288876
0.6366539250419542,0.6177874322207116,0.6366539250419542,0.6239782297749339
0.63770277829573,0.6188463890934679,0.63770277829573,0.625073142062499
0.636187768040276,0.6174592951887153,0.636187768040276,0.6236775172735406
0.6367704642923737,0.6178962985999513,0.6367704642923737,0.6242099368546697
0.6346261420846541,0.61570266729044,0.6346261420846541,0.6217766675626643
0.6357682267387657,0.6169233153055973,0.6357682267387655,0.6229078531192522
0.6380523960469886,0.619213220908114,0.6380523960469888,0.6254231779919465
0.6329246690285288,0.6140451588882426,0.6329246690285287,0.6201984672313479
0.6400335633041209,0.6212333496892142,0.6400335633041209,0.6272198900090875
0.6357449188886817,0.6168930166958622,0.6357449188886819,0.6230790828422738
0.6342765243333955,0.6153676304909879,0.6342765243333954,0.6216321528534259
0.6350456833861644,0.6161875548438188,0.6350456833861645,0.622280232824882
0.6369802349431288,0.6181573868596297,0.6369802349431288,0.6244586555767425
0.6364208465411151,0.617526539794948,0.6364208465411151,0.623726216601339
