accuracy,precision,recall,f1_score
0.657258064516129,0.650205114931693,0.6572580645161289,0.6419349395581302
0.6563257505127728,0.6471965683275436,0.6563257505127729,0.6463561071083249
0.6555798993100876,0.6444146601754243,0.6555798993100875,0.6458227116173084
0.6530626515010255,0.6415207257633043,0.6530626515010257,0.6421317265526111
0.6573979116166325,0.6483096359523882,0.6573979116166324,0.6443071826754225
0.6556731307104233,0.6444779624336531,0.6556731307104232,0.6441754820989286
0.6538784262539623,0.6436231503001384,0.6538784262539623,0.6416749410734776
0.6594256945739325,0.6487855845600599,0.6594256945739325,0.645964216625087
0.6551836658586612,0.6448346571449864,0.6551836658586612,0.6434847379415108
0.6583768413201566,0.6457170626545651,0.6583768413201567,0.6488564413022909
0.6532724221517807,0.6404863132686482,0.6532724221517806,0.642933283679856
0.6512446391944807,0.6409401842494833,0.6512446391944807,0.6383723238247904
0.6549505873578221,0.6456151528196015,0.6549505873578222,0.6433216771431525
0.6551137423084095,0.641168873863039,0.6551137423084097,0.6425912733157886
0.6548107402573187,0.6420823105713425,0.6548107402573187,0.6428840469234012
