accuracy,precision,recall,f1_score
0.6525498787991796,0.6410730163956021,0.6525498787991796,0.6401367675177834
0.6490070855864255,0.6431058689473256,0.6490070855864256,0.6375533845717846
0.6491469326869289,0.6426280831858929,0.6491469326869289,0.637758410352595
0.647352228230468,0.6352958314432197,0.6473522282304681,0.6350069466346067
0.6473289203803841,0.6335002408349875,0.647328920380384,0.6361974751168437
0.6482146186835727,0.6382139557479289,0.6482146186835727,0.63665396906333
0.6462800671266082,0.636965082556376,0.6462800671266085,0.6357679870610744
0.651920566846914,0.6455091982504397,0.6519205668469141,0.6406500551867498
0.6488206227857543,0.6432932139351218,0.6488206227857543,0.6368019197468445
0.653458884952452,0.6464121219927336,0.6534588849524519,0.6414522998015242
0.6483544657840761,0.6406176426357857,0.648354465784076,0.6372265033255765
0.6452079060227485,0.6397374422511936,0.6452079060227485,0.6343130437398361
0.6467229162782026,0.6388093378723259,0.6467229162782026,0.6357159502677132
0.6478183852321462,0.6407586065769941,0.647818385232146,0.6365295544468127
0.6466529927279507,0.6389000724413266,0.646652992727951,0.6357291024330851
