mean absolute error,mean squarred error
15.980146214750176,3123.8212252191975
15.886777235597167,3128.1639129235723
15.85030734805117,3067.788142126595
15.869955383442388,3066.9841940140213
15.925425888682472,3118.7303848517076
15.924943169408989,3074.5553431640383
15.850393686128417,2989.45585864182
15.901114059732574,3108.8133981942833
15.858557531769652,2992.8640759374994
15.900128923019087,3053.017668293899
15.773152212809128,3010.483155268084
15.876504694065908,3041.2082391708677
15.78043483681298,2895.014140249373
15.699118941415277,2884.6700824180725
15.824960467505381,3078.220305572
