mean absolute error,mean squarred error
16.66387203880443,3222.748072617455
16.617379361193,3223.215221994773
16.586406072274087,3159.9853141076005
16.563321967886665,3151.4990686434617
16.625744529797956,3215.422505537276
16.600352990539715,3164.826131636048
16.503967226931,3075.971201893396
16.613763536672778,3198.128649936462
16.526937835474023,3074.1533512338588
16.61576724441803,3149.3810129970248
16.54206531524275,3100.221198853319
16.590797413786845,3129.704873138377
16.4113304986242,2974.535898576461
16.46690613676667,2971.3286480809916
16.554254820602164,3166.2961765080736
